user_id,verified,followers_count,following_count,tweet_count,listed_count,account_age_days,follower_following_ratio,tweets_per_day,listed_per_follower,in_degree,out_degree,degree_ratio,pagerank,hits_authority,hits_hub,betweenness,clustering_coef,tweet_count_actual,avg_retweets,avg_likes,avg_replies,avg_hashtags,avg_mentions,total_engagement,influence_score,influential
1,0,10,173,40,6,2959,0.057803468208092484,0.013518080432578574,0.6,1,7,0.14285714285714285,0.0003596727361135764,6.881549478197144e-05,0.001581044174318849,4.938289414853809e-05,0.39285714285714285,5.0,4.4,7.0,2.4,3.0,1.6,13.8,0.07980895074701755,0
2,0,50,471,34,1,1720,0.10615711252653928,0.019767441860465116,0.02,3,8,0.375,0.0013894863940127136,0.0006782173492676914,0.0020664579519193145,0.00011133693271092409,0.4909090909090909,7.0,2.857142857142857,7.857142857142857,1.2857142857142858,1.0,0.8571428571428571,12.0,0.07282221968856259,0
3,0,10,1304,48,5,786,0.007668711656441718,0.061068702290076333,0.5,1,3,0.3333333333333333,0.00032626260822510826,0.00024097010913717878,0.0010884861386870192,2.682741654661398e-06,0.8333333333333334,5.0,3.8,14.8,0.8,3.2,1.2,19.400000000000002,0.11199902624015072,0
4,0,10,1763,55,7,2700,0.005672149744753261,0.020370370370370372,0.7,3,9,0.3333333333333333,0.00047035216404388834,0.0007809973101818168,0.002415659536766385,5.3557546857399576e-05,0.5757575757575758,5.0,3.6,10.0,1.2,1.6,1.2,14.799999999999999,0.08589479818576358,0
5,0,10,1136,61,2,3781,0.008802816901408451,0.01613329806929384,0.2,1,8,0.125,0.0003613238104395605,0.00012704132796851014,0.0020442231575298377,4.9165786633681236e-05,0.5555555555555556,2.0,7.5,17.5,2.5,1.5,2.5,27.5,0.1588519999316858,1
6,0,90,1558,87,2,3582,0.057766367137355584,0.024288107202680067,0.022222222222222223,6,4,1.5,0.000511849853894032,0.0014217467181248218,0.0010210651148934496,7.373060957195917e-05,0.3333333333333333,7.0,4.714285714285714,7.714285714285714,1.0,1.4285714285714286,0.7142857142857143,13.428571428571429,0.0789918929373624,0
7,1,10,1701,23,6,497,0.005878894767783657,0.04627766599597585,0.6,1,8,0.125,0.0003341328125,0.0002541488650247318,0.0015922453126809627,2.660385474205886e-05,0.4722222222222222,6.0,4.0,9.0,1.3333333333333333,2.8333333333333335,2.1666666666666665,14.333333333333334,0.08280223048866342,0
8,0,10,1776,47,0,1195,0.00563063063063063,0.03933054393305439,0.0,1,3,0.3333333333333333,0.0003587196796150169,0.0002231261398046145,0.001092163531360817,8.90525087639088e-06,0.5,5.0,3.2,17.2,1.6,1.8,1.2,22.0,0.1270942995453449,1
9,0,20,1647,25,1,2433,0.012143290831815421,0.010275380189066995,0.05,1,9,0.1111111111111111,0.0003231818181818182,0.0002699881751269366,0.0022531982384975118,6.72207837542523e-06,0.5111111111111111,7.0,6.857142857142857,7.714285714285714,1.4285714285714286,2.857142857142857,1.2857142857142858,16.0,0.09248702495167667,0
10,0,30,817,47,3,2786,0.03671970624235006,0.016870064608758076,0.1,4,4,1.0,0.000619333287044644,0.0010261306667764948,0.0012375961692122708,1.4904120303674432e-05,0.42857142857142855,4.0,2.0,17.0,0.25,3.0,1.25,19.25,0.1121929459807623,0
11,0,10,532,34,8,1524,0.018796992481203006,0.02230971128608924,0.8,1,6,0.16666666666666666,0.0003476076642648597,0.00027347644536921057,0.0013696566347839887,2.6868414413145907e-05,0.47619047619047616,6.0,3.6666666666666665,14.333333333333334,1.3333333333333333,3.8333333333333335,1.6666666666666667,19.333333333333332,0.11168681315189714,0
