tweet_id,user_id,topic,text,retweet_count,like_count,reply_count,hashtag_count,mention_count
1,325,AI,Just published a new post on AI!,0,24,2,3,2
2,108,Sports,My experience with Sports so far this month.,1,0,0,1,3
3,403,Politics,What do you think about Politics? Let me know.,11,6,6,4,3
4,325,Finance,Cannot believe what is happening in Finance.,1,7,0,3,3
5,197,AI,Just published a new post on AI!,1,15,2,4,1
6,375,Gaming,Just published a new post on Gaming!,5,16,1,2,1
7,10,AI,Big news in the AI world today!,0,9,1,1,2
8,160,Sports,Excited about the latest developments in Sports.,4,8,1,3,2
9,86,Politics,Just published a new post on Politics!,2,3,1,2,2
10,234,Travel,My experience with Travel so far this month.,1,5,0,4,2
11,223,Sports,New research on Sports just dropped -- fascinating.,1,17,3,3,2
12,385,Tech,What do you think about Tech? Let me know.,0,5,0,3,0
13,117,Tech,What do you think about Tech? Let me know.,8,27,0,1,0
14,302,Travel,What do you think about Travel? Let me know.,11,9,3,0,2
15,365,AI,Cannot believe what is happening in AI.,1,3,0,5,2
16,395,Travel,My experience with Travel so far this month.,1,20,1,0,0
17,339,Politics,Just published a new post on Politics!,5,25,1,0,0
18,214,Health,Cannot believe what is happening in Health.,1,4,0,0,2
19,243,Sports,Big news in the Sports world today!,2,8,0,5,0
20,155,Finance,Excited about the latest developments in Finance.,1,3,4,5,2
21,319,Fashion,What do you think about Fashion? Let me know.,6,20,2,3,0
22,262,Fashion,Excited about the latest developments in Fashion.,4,40,6,2,0
23,402,Politics,Sharing my Politics predictions for this year.,0,8,0,1,1
24,399,Music,This Music trend is changing everything.,2,37,1,1,2
25,361,Finance,Hot take on Finance -- long thread incoming.,4,3,1,1,0
26,281,Health,Big news in the Health world today!,0,7,5,5,3
27,170,Tech,Just published a new post on Tech!,4,13,3,0,0
28,465,Politics,My experience with Politics so far this month.,4,11,0,5,3
29,77,Politics,This Politics trend is changing everything.,0,8,2,0,0
30,464,Music,Big news in the Music world today!,0,5,0,3,2
31,136,Health,Just published a new post on Health!,2,20,3,0,1
32,448,AI,Hot take on AI -- long thread incoming.,20,7,1,2,2
33,219,Politics,Excited about the latest developments in Politics.,9,23,0,0,0
34,437,Sports,What do you think about Sports? Let me know.,4,6,3,2,2
35,458,Health,My experience with Health so far this month.,0,4,0,2,0
36,191,Gaming,What do you think about Gaming? Let me know.,0,4,0,0,3
37,205,Health,Hot take on Health -- long thread incoming.,3,16,4,3,3
38,410,Finance,What do you think about Finance? Let me know.,1,5,2,0,1
39,357,AI,What do you think about AI? Let me know.,4,3,8,0,3
40,467,Fashion,Sharing my Fashion predictions for this year.,1,9,0,4,3
41,93,Fashion,Cannot believe what is happening in Fashion.,1,5,1,2,0
42,442,Sports,Sharing my Sports predictions for this year.,0,14,4,3,0
43,455,Finance,Sharing my Finance predictions for this year.,2,15,1,0,0
44,134,Gaming,Just published a new post on Gaming!,6,22,0,5,1
45,490,Gaming,This Gaming trend is changing everything.,7,10,2,4,0
46,222,Tech,Sharing my Tech predictions for this year.,9,17,4,2,3
47,77,Travel,My experience with Travel so far this month.,6,13,2,0,0
48,330,Sports,This Sports trend is changing everything.,3,14,2,3,3
49,446,Sports,Excited about the latest developments in Sports.,5,17,1,3,2
50,124,Gaming,Hot take on Gaming -- long thread incoming.,3,16,0,0,1
51,282,Finance,Cannot believe what is happening in Finance.,2,41,0,1,0
52,236,Health,My experience with Health so far this month.,0,13,0,3,0
53,439,Health,Sharing my Health predictions for this year.,15,12,0,2,0
54,255,AI,Excited about the latest developments in AI.,2,8,4,3,3
55,19,Travel,This Travel trend is changing everything.,4,2,0,0,0
56,406,Fashion,My experience with Fashion so far this month.,2,11,0,5,2
57,456,Travel,This Travel trend is changing everything.,0,23,0,1,3
58,487,Gaming,New research on Gaming just dropped -- fascinating.,0,0,2,0,1
59,433,Health,New research on Health just dropped -- fascinating.,0,8,1,4,3
60,367,Gaming,Sharing my Gaming predictions for this year.,1,12,1,0,0
61,389,Tech,Just published a new post on Tech!,0,23,0,2,2
62,425,Music,This Music trend is changing everything.,6,21,1,4,2
63,360,Politics,Just published a new post on Politics!,0,7,0,1,3
64,72,Finance,Excited about the latest developments in Finance.,0,22,0,2,1
65,97,Politics,Cannot believe what is happening in Politics.,1,18,0,1,3
